id,latitude,longitude,affected+displaced,displacement_date,event_name,description
138662,32.327461,35.084259,88,1/17/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 88 displacements (destroyed housing), 17 January - 17 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 88 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 17 January."
138661,32.327461,35.084259,65,1/17/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 65 displacements (destroyed housing), 17 January - 17 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 65 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 17 January."
138550,32.180759,35.066608,12,1/15/2024,Palestine: International armed conflict (IAC) (Demolitions) - Qalqiliya Governorate - 01/01/2024,"Palestine: 12 displacements (destroyed housing), 15 January - 15 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 12 people were displaced by housing demolitions in Qalqilya Governorate on 15 January."
138549,31.806061,35.326118,9,1/10/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/01/2024,"Palestine: 9 displacements (destroyed housing), 10 January - 10 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 9 people were displaced by housing demolitions in Ramallah/Jerusalem on 10 January."
138660,32.1908,35.32328,12,1/9/2024,Palestine: International armed conflict (IAC) (Demolitions) - Nablus Governorate - 01/01/2024,"Palestine: 12 displacements (destroyed housing), 09 January - 09 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 12 people were displaced by housing demolitions during military operations in Nablus Governorate on 09 January."
138659,32.327461,35.084259,23,1/8/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 23 displacements (destroyed housing), 08 January - 08 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 23 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 08 January."
137051,31.28108,34.281059,82000,1/12/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 82,000 displacements, 06 January - 12 January. Due to escalation in the Gaza Strip and Israel, at least 82000 people were displaced within or to Rafah Governorate between 06 January and 12 January, according to OCHA."
137050,31.42005,34.374249,4000,1/12/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 4,000 displacements, 06 January - 12 January. Due to escalation in the Gaza Strip and Israel, at least 4000 people were displaced within or to Deir al-Balah Governorate between 06 January and 12 January, according to OCHA."
137049,31.324209,34.316212,208000,1/12/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 208,000 displacements, 06 January - 12 January. Due to escalation in the Gaza Strip and Israel, at least 208000 people were displaced within or to Khan Yunis Governorate between 06 January and 12 January, according to OCHA."
138554,31.806061,35.326118,14,1/3/2024,Palestine: International armed conflict (IAC) (Demolitions) - Jerusalem Governorate - 01/01/2024,"Palestine: 14 displacements (destroyed housing), 03 January - 03 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 14 people were displaced by housing demolitions in Ramallah/Jerusalem on 03 January."
138658,32.327461,35.084259,5,1/3/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 5 displacements (destroyed housing), 03 January - 03 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 03 January."
138657,32.327461,35.084259,46,1/2/2024,Palestine: International armed conflict (IAC) (Demolitions) - Tulkarm Governorate - 01/01/2024,"Palestine: 46 displacements (destroyed housing), 02 January - 02 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 46 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 02 January."
137048,31.28108,34.281059,84000,1/5/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 84,000 displacements, 01 January - 05 January. Due to escalation in the Gaza Strip and Israel, at least 84000 people were displaced within or to Rafah Governorate between 01 January and 05 January, according to OCHA."
137046,31.324209,34.316212,28000,1/5/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 28,000 displacements, 01 January - 05 January. Due to escalation in the Gaza Strip and Israel, at least 28000 people were displaced within or to Khan Yunis Governorate between 01 January and 05 January, according to OCHA."
137047,31.42005,34.374249,5000,1/5/2024,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2024,"Palestine: 5,000 displacements, 01 January - 05 January. Due to escalation in the Gaza Strip and Israel, at least 5000 people were displaced within or to Deir al-Balah Governorate between 01 January and 05 January, according to OCHA."
138551,31.707121,35.206589,8,1/1/2024,Palestine: International armed conflict (IAC) (Demolitions) - Bethlehem Governorate - 01/01/2024,"Palestine: 8 displacements (destroyed housing), 01 January - 01 January. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolitions in Bethlehem on 01 January."
132224,31.28108,34.281059,44000,12/31/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 44,000 displacements, 30 December - 31 December. Due to escalation in the Gaza Strip and Israel, at least 44000 people were displaced within or to Rafah Governorate between 30 December and 31 December, according to OCHA."
132223,31.324209,34.316212,28000,12/31/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 28,000 displacements, 30 December - 31 December. Due to escalation in the Gaza Strip and Israel, at least 28000 people were displaced within or to Khan Yunis Governorate between 30 December and 31 December, according to OCHA."
132840,32.327461,35.084259,46,12/30/2023,Palestine: Unknown (IAC) (Demolitions) - Tulkarm Governorate - 01/12/2023,"Palestine: 46 displacements (destroyed housing), 30 December - 30 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 46 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 30 December."
132816,31.505951,35.11739,7,12/27/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/12/2023,"Palestine: 7 displacements (destroyed housing), 27 December - 27 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions in Hebron Governorate on 27 December."
132811,32.1908,35.32328,29,12/26/2023,Palestine: Unknown (IAC) (Demolitions) - Nablus Governorate - 01/12/2023,"Palestine: 29 displacements (destroyed housing), 26 December - 26 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 29 people were displaced by housing demolitions in Nablus Governorate on 26 December."
132813,31.806061,35.326118,4,12/26/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 4 displacements (destroyed housing), 26 December - 26 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 4 people were displaced by housing demolitions in Ramallah/Jerusalem on 26 December."
132814,31.806061,35.326118,3,12/26/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 3 displacements (destroyed housing), 26 December - 26 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 3 people were displaced by housing demolitions in Ramallah/Jerusalem on 26 December."
132841,32.327461,35.084259,35,12/25/2023,Palestine: Unknown (IAC) (Demolitions) - Tulkarm Governorate - 01/12/2023,"Palestine: 35 displacements (destroyed housing), 25 December - 25 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 32 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 25 December."
132221,31.324209,34.316212,92000,12/29/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 92,000 displacements, 23 December - 29 December. Due to escalation in the Gaza Strip and Israel, at least 92000 people were displaced within or to Khan Yunis Governorate between 23 December and 29 December, according to OCHA."
132222,31.28108,34.281059,103000,12/29/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 103,000 displacements, 23 December - 29 December. Due to escalation in the Gaza Strip and Israel, at least 103000 people were displaced within or to Rafah Governorate between 23 December and 29 December, according to OCHA."
131604,31.37948398,34.99924084,14,12/26/2023,Palestine: Communal violence (Coercive Environment) - West Bank - 07/10/2023,"Palestine: 14 displacements (destroyed housing), 23 December - 26 December. According to OCHA, a total of 2 households were displaced due to destroyed housing in Umm At Tiran due to communal violence on 23 December"
132819,32.1908,35.32328,12,12/21/2023,Palestine: Unknown (IAC) (Demolitions) - Nablus Governorate - 01/12/2023,"Palestine: 12 displacements (destroyed housing), 21 December - 21 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 12 people were displaced by housing demolitions in Nablus Governorate on 21 December."
132849,32.1908,35.32328,9,12/19/2023,Palestine: Unknown (IAC) (Demolitions) - Nablus Governorate - 01/12/2023,"Palestine: 9 displacements (destroyed housing), 19 December - 19 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 9 people were displaced on punitive grounds in Nablus Governorate on 19 December."
131922,31.28108,34.281059,42000,12/22/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 42,000 displacements, 16 December - 22 December. Due to escalation in the Gaza Strip and Israel, at least 42000 people were displaced within or to Rafah Governorate between 16 December and 22 December, according to OCHA."
131921,31.324209,34.316212,76000,12/22/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 76,000 displacements, 16 December - 22 December. Due to escalation in the Gaza Strip and Israel, at least 76000 people were displaced within or to Khan Yunis Governorate between 16 December and 22 December, according to OCHA."
132839,32.327461,35.084259,47,12/16/2023,Palestine: Unknown (IAC) (Demolitions) - Tulkarm Governorate - 01/12/2023,"Palestine: 47 displacements (destroyed housing), 16 December - 16 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 47 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 16 December."
132817,31.806061,35.326118,1,12/14/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 1 displacement (destroyed housing), 14 December - 14 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in Ramallah/Jerusalem on 14 December."
132848,32.1908,35.32328,18,12/14/2023,Palestine: Unknown (IAC) (Demolitions) - Nablus Governorate - 01/12/2023,"Palestine: 18 displacements (destroyed housing), 14 December - 14 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 18 people were displaced on punitive grounds in Nablus Governorate on 14 December."
132812,31.505951,35.11739,10,12/13/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/12/2023,"Palestine: 10 displacements (destroyed housing), 13 December - 13 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 10 people were displaced by housing demolitions in Hebron Governorate on 13 December."
132810,31.806061,35.326118,29,12/13/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 29 displacements (destroyed housing), 13 December - 13 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 29 people were displaced by housing demolitions in Ramallah/Jerusalem on 13 December."
131918,31.324209,34.316212,61000,12/15/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 61,000 displacements, 09 December - 15 December. Due to escalation in the Gaza Strip and Israel, at least 61000 people were displaced within or to Khan Yunis Governorate between 09 December and 15 December, according to OCHA."
131920,31.28108,34.281059,69000,12/15/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 69,000 displacements, 09 December - 15 December. Due to escalation in the Gaza Strip and Israel, at least 69000 people were displaced within or to Rafah Governorate between 09 December and 15 December, according to OCHA."
131919,31.42005,34.374249,275000,12/15/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 275,000 displacements, 09 December - 15 December. Due to escalation in the Gaza Strip and Israel, at least 275000 people were displaced within or to Deir al-Balah Governorate between 09 December and 15 December, according to OCHA."
132842,32.327461,35.084259,1,12/7/2023,Palestine: Unknown (IAC) (Demolitions) - Tulkarm Governorate - 01/12/2023,"Palestine: 1 displacement (destroyed housing), 07 December - 07 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions during military operations in Tulkarm Governorate on 07 December."
132823,31.505951,35.11739,31,12/6/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/12/2023,"Palestine: 31 displacements (destroyed housing), 06 December - 06 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 31 people were displaced by housing demolitions in Hebron Governorate on 06 December."
132815,31.806061,35.326118,1,12/6/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 1 displacement (destroyed housing), 06 December - 06 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), one person was displaced by housing demolitions in Ramallah/Jerusalem on 06 December."
132821,31.707121,35.206589,11,12/6/2023,Palestine: Unknown (IAC) (Demolitions) - Bethlehem Governorate - 01/12/2023,"Palestine: 11 displacements (destroyed housing), 06 December - 06 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 11 people were displaced by housing demolitions in Bethlehem on 06 December."
132820,31.806061,35.326118,7,12/5/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 7 displacements (destroyed housing), 05 December - 05 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions in Ramallah/Jerusalem on 05 December."
132822,31.806061,35.326118,12,12/3/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 12 displacements (destroyed housing), 03 December - 03 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 12 people were displaced by housing demolitions in Ramallah/Jerusalem on 03 December."
132818,31.806061,35.326118,9,12/3/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/12/2023,"Palestine: 9 displacements (destroyed housing), 03 December - 03 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 9 people were displaced by housing demolitions in Ramallah/Jerusalem on 03 December."
130459,31.28108,34.281059,85000,12/8/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 85,000 displacements, 02 December - 08 December. Due to escalation in the Gaza Strip and Israel, at least 85000 people were displaced within or to Rafah Governorate between 02 December and 08 December, according to OCHA."
130458,31.42005,34.374249,52000,12/8/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 52,000 displacements, 02 December - 08 December. Due to escalation in the Gaza Strip and Israel, at least 52000 people were displaced within or to Deir al-Balah Governorate between 02 December and 08 December, according to OCHA."
130457,31.324209,34.316212,9000,12/8/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 9,000 displacements, 02 December - 08 December. Due to escalation in the Gaza Strip and Israel, at least 9000 people were displaced within or to Khan Yunis Governorate between 02 December and 08 December, according to OCHA."
130460,31.43317,34.37793,27879,12/8/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 27,879 displacements, 02 December - 08 December. Due to escalation in the Gaza Strip and Israel, at least 27879 people were displaced to public shelters in Gaza Strip between 02 December and 08 December, according to OCHA."
132838,32.426182,35.25536,134,12/2/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/12/2023,"Palestine: 134 displacements (destroyed housing), 02 December - 02 December. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 134 people were displaced by housing demolitions during military operations in Jenin Governorate on 02 December."
129262,32.426182,35.25536,27,11/30/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/11/2023,"Palestine: 27 displacements (destroyed housing), 30 November - 30 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 27 people were displaced by housing demolitions in Jenin Governorate on 30 November."
129265,31.806061,35.326118,8,11/30/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 8 displacements (destroyed housing), 30 November - 30 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 8 people were displaced by housing demolitions in Ramallah/Jerusalem on 30 November."
129273,31.806061,35.326118,7,11/30/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 7 displacements (destroyed housing), 30 November - 30 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions in Ramallah/Jerusalem on 30 November."
130695,31.806061,35.326118,5,11/30/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 5 displacements (destroyed housing), 30 November - 30 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced on punitive grounds in Ramallah/Jerusalem on 30 November."
129274,31.806061,35.326118,4,11/29/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 4 displacements (destroyed housing), 29 November - 29 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 4 people were displaced by housing demolitions in Ramallah/Jerusalem on 29 November."
130534,32.294868,35.440121,5,11/28/2023,Palestine: Unknown (IAC) (Demolitions) - Tubas Governorate - 01/11/2023,"Palestine: 5 displacements (destroyed housing), 28 November - 28 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 5 people were displaced by housing demolitions during military operations in Tubas Governorate on 28 November."
130694,31.95697,35.19796,9,11/28/2023,Palestine: Unknown (IAC) (Demolitions) - Ramallah and al-Bireh Governorate - 01/11/2023,"Palestine: 9 displacements (destroyed housing), 28 November - 28 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 9 people were displaced on punitive grounds in Ramallah and al-Bireh Governorate on 28 November."
130535,32.426182,35.25536,63,11/28/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/11/2023,"Palestine: 63 displacements (destroyed housing), 28 November - 28 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 63 people were displaced by housing demolitions during military operations in Jenin Governorate on 28 November."
129270,31.505951,35.11739,6,11/28/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/11/2023,"Palestine: 6 displacements (destroyed housing), 28 November - 28 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 6 people were displaced by housing demolitions in Hebron Governorate on 28 November."
129266,31.806061,35.326118,27,11/27/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 27 displacements (destroyed housing), 27 November - 27 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 27 people were displaced by housing demolitions in Ramallah/Jerusalem on 27 November."
129269,31.505951,35.11739,2,11/27/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/11/2023,"Palestine: 2 displacements (destroyed housing), 27 November - 27 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 2 people were displaced by housing demolitions in Hebron Governorate on 27 November."
130455,31.42005,34.374249,42000,12/1/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 42,000 displacements, 25 November - 01 December. Due to escalation in the Gaza Strip and Israel, at least 42000 people were displaced within or to Deir al-Balah Governorate between 25 November and 01 December, according to OCHA."
130456,31.28108,34.281059,25000,12/1/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 25,000 displacements, 25 November - 01 December. Due to escalation in the Gaza Strip and Israel, at least 25000 people were displaced within or to Rafah Governorate between 25 November and 01 December, according to OCHA."
130454,31.324209,34.316212,15000,12/1/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 15,000 displacements, 25 November - 01 December. Due to escalation in the Gaza Strip and Israel, at least 15000 people were displaced within or to Khan Yunis Governorate between 25 November and 01 December, according to OCHA."
130533,32.426182,35.25536,24,11/25/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/11/2023,"Palestine: 24 displacements (destroyed housing), 25 November - 25 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 24 people were displaced by housing demolitions during military operations in Jenin Governorate on 25 November."
130693,32.426182,35.25536,6,11/24/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/11/2023,"Palestine: 6 displacements (destroyed housing), 24 November - 24 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 6 people were displaced on punitive grounds in Jenin Governorate on 24 November."
129264,31.505951,35.11739,19,11/22/2023,Palestine: Unknown (IAC) (Demolitions) - Hebron Governorate - 01/11/2023,"Palestine: 19 displacements (destroyed housing), 22 November - 22 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 19 people were displaced by housing demolitions in Hebron Governorate on 22 November."
129267,31.806061,35.326118,6,11/21/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 6 displacements (destroyed housing), 21 November - 21 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 6 people were displaced by housing demolitions in Ramallah/Jerusalem on 21 November."
130532,32.327461,35.084259,16,11/21/2023,Palestine: Unknown (IAC) (Demolitions) - Tulkarm Governorate - 01/11/2023,"Palestine: 16 displacements (destroyed housing), 21 November - 21 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 16 people were displaced by housing demolitions during military operations in Tulkarm Governorate on 21 November."
129271,31.806061,35.326118,7,11/20/2023,Palestine: Unknown (IAC) (Demolitions) - Jerusalem Governorate - 01/11/2023,"Palestine: 7 displacements (destroyed housing), 20 November - 20 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions in Ramallah/Jerusalem on 20 November."
130531,32.426182,35.25536,7,11/19/2023,Palestine: Unknown (IAC) (Demolitions) - Jenin Governorate - 01/11/2023,"Palestine: 7 displacements (destroyed housing), 19 November - 19 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 7 people were displaced by housing demolitions during military operations in Jenin Governorate on 19 November."
130530,32.1908,35.32328,3,11/19/2023,Palestine: Unknown (IAC) (Demolitions) - Nablus Governorate - 01/11/2023,"Palestine: 3 displacements (destroyed housing), 19 November - 19 November. According to Office for the Coordination of Humanitarian Affairs (OCHA), a total of 3 people were displaced by housing demolitions during military operations in Nablus Governorate on 19 November."
130452,31.54834,34.505749,15000,11/24/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 15,000 displacements, 18 November - 24 November. Due to escalation in the Gaza Strip and Israel, at least 15000 people were displaced within or to North Gaza Governorate between 18 November and 24 November, according to OCHA."
130451,31.42005,34.374249,75000,11/24/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 75,000 displacements, 18 November - 24 November. Due to escalation in the Gaza Strip and Israel, at least 75000 people were displaced within or to Deir al-Balah Governorate between 18 November and 24 November, according to OCHA."
130450,31.324209,34.316212,40000,11/24/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 40,000 displacements, 18 November - 24 November. Due to escalation in the Gaza Strip and Israel, at least 40000 people were displaced within or to Khan Yunis Governorate between 18 November and 24 November, according to OCHA."
130449,31.487009,34.445549,25000,11/24/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 25,000 displacements, 18 November - 24 November. Due to escalation in the Gaza Strip and Israel, at least 25000 people were displaced within or to Gaza Governorate between 18 November and 24 November, according to OCHA."
130453,31.28108,34.281059,118000,11/24/2023,Palestine: Unknown (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 07/10/2023,"Palestine: 118,000 displacements, 18 November - 24 November. Due to escalation in the Gaza Strip and Israel, at least 118000 people were displaced within or to Rafah Governorate between 18 November and 24 November, according to OCHA."
